id,sequence
[['d']],3
[['a']],4
[['e']],3
[['b']],4
[['f']],3
[['c']],4
[['g']],1
"[['d', 'f']]",1
"[['d', 'f'], ['b']]",1
"[['d', 'f'], ['c']]",1
"[['d', 'f'], ['c'], ['b']]",1
"[['d'], ['a']]",1
"[['d'], ['a', 'e']]",1
"[['d'], ['b']]",2
"[['d'], ['b', 'c']]",1
"[['d'], ['b', 'c'], ['a']]",1
"[['d'], ['b', 'c'], ['a', 'e']]",1
"[['d'], ['b', 'c'], ['e']]",1
"[['d'], ['b'], ['a']]",1
"[['d'], ['b'], ['a', 'e']]",1
"[['d'], ['b'], ['e']]",1
"[['d'], ['c']]",3
"[['d'], ['c', 'f']]",1
"[['d'], ['c'], ['a']]",1
"[['d'], ['c'], ['a', 'e']]",1
"[['d'], ['c'], ['b']]",2
"[['d'], ['c'], ['b', 'c']]",1
"[['d'], ['c'], ['b', 'c'], ['a']]",1
"[['d'], ['c'], ['b', 'c'], ['a', 'e']]",1
"[['d'], ['c'], ['b', 'c'], ['e']]",1
"[['d'], ['c'], ['b'], ['a']]",1
"[['d'], ['c'], ['b'], ['a', 'e']]",1
"[['d'], ['c'], ['b'], ['e']]",1
"[['d'], ['c'], ['c']]",1
"[['d'], ['c'], ['c'], ['a']]",1
"[['d'], ['c'], ['c'], ['a', 'e']]",1
"[['d'], ['c'], ['c'], ['e']]",1
"[['d'], ['c'], ['e']]",1
"[['d'], ['e']]",1
"[['d'], ['f']]",1
"[['a', 'f']]",1
"[['a', 'f'], ['b']]",1
"[['a', 'f'], ['b'], ['b']]",1
"[['a', 'f'], ['c']]",1
"[['a', 'f'], ['c'], ['b']]",1
"[['a', 'f'], ['c'], ['b'], ['b']]",1
"[['a', 'e']]",1
"[['a', 'd']]",1
"[['a', 'd'], ['a']]",1
"[['a', 'd'], ['a', 'e']]",1
"[['a', 'd'], ['b']]",1
"[['a', 'd'], ['b', 'c']]",1
"[['a', 'd'], ['b', 'c'], ['a']]",1
"[['a', 'd'], ['b', 'c'], ['a', 'e']]",1
"[['a', 'd'], ['b', 'c'], ['e']]",1
"[['a', 'd'], ['b'], ['a']]",1
"[['a', 'd'], ['b'], ['a', 'e']]",1
"[['a', 'd'], ['b'], ['e']]",1
"[['a', 'd'], ['c']]",1
"[['a', 'd'], ['c'], ['a']]",1
"[['a', 'd'], ['c'], ['a', 'e']]",1
"[['a', 'd'], ['c'], ['b']]",1
"[['a', 'd'], ['c'], ['b', 'c']]",1
"[['a', 'd'], ['c'], ['b', 'c'], ['a']]",1
"[['a', 'd'], ['c'], ['b', 'c'], ['a', 'e']]",1
"[['a', 'd'], ['c'], ['b', 'c'], ['e']]",1
"[['a', 'd'], ['c'], ['b'], ['a']]",1
"[['a', 'd'], ['c'], ['b'], ['a', 'e']]",1
"[['a', 'd'], ['c'], ['b'], ['e']]",1
"[['a', 'd'], ['c'], ['c']]",1
"[['a', 'd'], ['c'], ['c'], ['a']]",1
"[['a', 'd'], ['c'], ['c'], ['a', 'e']]",1
"[['a', 'd'], ['c'], ['c'], ['e']]",1
"[['a', 'd'], ['c'], ['e']]",1
"[['a', 'd'], ['e']]",1
"[['a', 'c']]",1
"[['a', 'c'], ['a']]",1
"[['a', 'c'], ['a', 'c']]",1
"[['a', 'c'], ['a', 'c'], ['c']]",1
"[['a', 'c'], ['a', 'c'], ['c', 'f']]",1
"[['a', 'c'], ['a', 'c'], ['d']]",1
"[['a', 'c'], ['a', 'c'], ['d'], ['c']]",1
"[['a', 'c'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a', 'c'], ['a', 'c'], ['d'], ['f']]",1
"[['a', 'c'], ['a', 'c'], ['f']]",1
"[['a', 'c'], ['a'], ['c']]",1
"[['a', 'c'], ['a'], ['c', 'f']]",1
"[['a', 'c'], ['a'], ['d']]",1
"[['a', 'c'], ['a'], ['d'], ['c']]",1
"[['a', 'c'], ['a'], ['d'], ['c', 'f']]",1
"[['a', 'c'], ['a'], ['d'], ['f']]",1
"[['a', 'c'], ['a'], ['f']]",1
"[['a', 'c'], ['c']]",1
"[['a', 'c'], ['c', 'f']]",1
"[['a', 'c'], ['c'], ['c']]",1
"[['a', 'c'], ['c'], ['c', 'f']]",1
"[['a', 'c'], ['c'], ['d']]",1
"[['a', 'c'], ['c'], ['d'], ['c']]",1
"[['a', 'c'], ['c'], ['d'], ['c', 'f']]",1
"[['a', 'c'], ['c'], ['d'], ['f']]",1
"[['a', 'c'], ['c'], ['f']]",1
"[['a', 'c'], ['d']]",1
"[['a', 'c'], ['d'], ['c']]",1
"[['a', 'c'], ['d'], ['c', 'f']]",1
"[['a', 'c'], ['d'], ['f']]",1
"[['a', 'c'], ['f']]",1
"[['a', 'b']]",2
"[['a', 'b', 'c']]",1
"[['a', 'b', 'c'], ['a']]",1
"[['a', 'b', 'c'], ['a', 'c']]",1
"[['a', 'b', 'c'], ['a', 'c'], ['c']]",1
"[['a', 'b', 'c'], ['a', 'c'], ['c', 'f']]",1
"[['a', 'b', 'c'], ['a', 'c'], ['d']]",1
"[['a', 'b', 'c'], ['a', 'c'], ['d'], ['c']]",1
"[['a', 'b', 'c'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a', 'b', 'c'], ['a', 'c'], ['d'], ['f']]",1
"[['a', 'b', 'c'], ['a', 'c'], ['f']]",1
"[['a', 'b', 'c'], ['a'], ['c']]",1
"[['a', 'b', 'c'], ['a'], ['c', 'f']]",1
"[['a', 'b', 'c'], ['a'], ['d']]",1
"[['a', 'b', 'c'], ['a'], ['d'], ['c']]",1
"[['a', 'b', 'c'], ['a'], ['d'], ['c', 'f']]",1
"[['a', 'b', 'c'], ['a'], ['d'], ['f']]",1
"[['a', 'b', 'c'], ['a'], ['f']]",1
"[['a', 'b', 'c'], ['c']]",1
"[['a', 'b', 'c'], ['c', 'f']]",1
"[['a', 'b', 'c'], ['c'], ['c']]",1
"[['a', 'b', 'c'], ['c'], ['c', 'f']]",1
"[['a', 'b', 'c'], ['c'], ['d']]",1
"[['a', 'b', 'c'], ['c'], ['d'], ['c']]",1
"[['a', 'b', 'c'], ['c'], ['d'], ['c', 'f']]",1
"[['a', 'b', 'c'], ['c'], ['d'], ['f']]",1
"[['a', 'b', 'c'], ['c'], ['f']]",1
"[['a', 'b', 'c'], ['d']]",1
"[['a', 'b', 'c'], ['d'], ['c']]",1
"[['a', 'b', 'c'], ['d'], ['c', 'f']]",1
"[['a', 'b', 'c'], ['d'], ['f']]",1
"[['a', 'b', 'c'], ['f']]",1
"[['a', 'b'], ['a']]",1
"[['a', 'b'], ['a', 'c']]",1
"[['a', 'b'], ['a', 'c'], ['c']]",1
"[['a', 'b'], ['a', 'c'], ['c', 'f']]",1
"[['a', 'b'], ['a', 'c'], ['d']]",1
"[['a', 'b'], ['a', 'c'], ['d'], ['c']]",1
"[['a', 'b'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a', 'b'], ['a', 'c'], ['d'], ['f']]",1
"[['a', 'b'], ['a', 'c'], ['f']]",1
"[['a', 'b'], ['a'], ['c']]",1
"[['a', 'b'], ['a'], ['c', 'f']]",1
"[['a', 'b'], ['a'], ['d']]",1
"[['a', 'b'], ['a'], ['d'], ['c']]",1
"[['a', 'b'], ['a'], ['d'], ['c', 'f']]",1
"[['a', 'b'], ['a'], ['d'], ['f']]",1
"[['a', 'b'], ['a'], ['f']]",1
"[['a', 'b'], ['b']]",1
"[['a', 'b'], ['c']]",2
"[['a', 'b'], ['c', 'f']]",1
"[['a', 'b'], ['c'], ['b']]",1
"[['a', 'b'], ['c'], ['c']]",1
"[['a', 'b'], ['c'], ['c', 'f']]",1
"[['a', 'b'], ['c'], ['d']]",1
"[['a', 'b'], ['c'], ['d'], ['c']]",1
"[['a', 'b'], ['c'], ['d'], ['c', 'f']]",1
"[['a', 'b'], ['c'], ['d'], ['f']]",1
"[['a', 'b'], ['c'], ['f']]",1
"[['a', 'b'], ['d']]",2
"[['a', 'b'], ['d', 'f']]",1
"[['a', 'b'], ['d', 'f'], ['b']]",1
"[['a', 'b'], ['d', 'f'], ['c']]",1
"[['a', 'b'], ['d', 'f'], ['c'], ['b']]",1
"[['a', 'b'], ['d'], ['b']]",1
"[['a', 'b'], ['d'], ['c']]",2
"[['a', 'b'], ['d'], ['c', 'f']]",1
"[['a', 'b'], ['d'], ['c'], ['b']]",1
"[['a', 'b'], ['d'], ['f']]",1
"[['a', 'b'], ['f']]",2
"[['a', 'b'], ['f'], ['b']]",1
"[['a', 'b'], ['f'], ['c']]",1
"[['a', 'b'], ['f'], ['c'], ['b']]",1
"[['a'], ['a']]",2
"[['a'], ['a', 'e']]",1
"[['a'], ['a', 'c']]",1
"[['a'], ['a', 'c'], ['a']]",1
"[['a'], ['a', 'c'], ['a', 'c']]",1
"[['a'], ['a', 'c'], ['a', 'c'], ['c']]",1
"[['a'], ['a', 'c'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['a', 'c'], ['a', 'c'], ['d']]",1
"[['a'], ['a', 'c'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['a', 'c'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'c'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['a', 'c'], ['a', 'c'], ['f']]",1
"[['a'], ['a', 'c'], ['a'], ['c']]",1
"[['a'], ['a', 'c'], ['a'], ['c', 'f']]",1
"[['a'], ['a', 'c'], ['a'], ['d']]",1
"[['a'], ['a', 'c'], ['a'], ['d'], ['c']]",1
"[['a'], ['a', 'c'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'c'], ['a'], ['d'], ['f']]",1
"[['a'], ['a', 'c'], ['a'], ['f']]",1
"[['a'], ['a', 'c'], ['c']]",1
"[['a'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['a', 'c'], ['c'], ['c']]",1
"[['a'], ['a', 'c'], ['c'], ['c', 'f']]",1
"[['a'], ['a', 'c'], ['c'], ['d']]",1
"[['a'], ['a', 'c'], ['c'], ['d'], ['c']]",1
"[['a'], ['a', 'c'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'c'], ['c'], ['d'], ['f']]",1
"[['a'], ['a', 'c'], ['c'], ['f']]",1
"[['a'], ['a', 'c'], ['d']]",1
"[['a'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['a', 'c'], ['f']]",1
"[['a'], ['a', 'b']]",1
"[['a'], ['a', 'b', 'c']]",1
"[['a'], ['a', 'b', 'c'], ['a']]",1
"[['a'], ['a', 'b', 'c'], ['a', 'c']]",1
"[['a'], ['a', 'b', 'c'], ['a', 'c'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['a', 'c'], ['d']]",1
"[['a'], ['a', 'b', 'c'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['a', 'c'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['a'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['a'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['a'], ['d']]",1
"[['a'], ['a', 'b', 'c'], ['a'], ['d'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['a'], ['d'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['a'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['d']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['d'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['d'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['d']]",1
"[['a'], ['a', 'b', 'c'], ['d'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['d'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['f']]",1
"[['a'], ['a', 'b'], ['a']]",1
"[['a'], ['a', 'b'], ['a', 'c']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['c']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['d']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['f']]",1
"[['a'], ['a', 'b'], ['a'], ['c']]",1
"[['a'], ['a', 'b'], ['a'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['a'], ['d']]",1
"[['a'], ['a', 'b'], ['a'], ['d'], ['c']]",1
"[['a'], ['a', 'b'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['a'], ['d'], ['f']]",1
"[['a'], ['a', 'b'], ['a'], ['f']]",1
"[['a'], ['a', 'b'], ['c']]",1
"[['a'], ['a', 'b'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['c'], ['c']]",1
"[['a'], ['a', 'b'], ['c'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['c'], ['d']]",1
"[['a'], ['a', 'b'], ['c'], ['d'], ['c']]",1
"[['a'], ['a', 'b'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['c'], ['d'], ['f']]",1
"[['a'], ['a', 'b'], ['c'], ['f']]",1
"[['a'], ['a', 'b'], ['d']]",1
"[['a'], ['a', 'b'], ['d'], ['c']]",1
"[['a'], ['a', 'b'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['d'], ['f']]",1
"[['a'], ['a', 'b'], ['f']]",1
"[['a'], ['a'], ['a']]",1
"[['a'], ['a'], ['a', 'c']]",1
"[['a'], ['a'], ['a', 'c'], ['c']]",1
"[['a'], ['a'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['a'], ['a', 'c'], ['d']]",1
"[['a'], ['a'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['a'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['a'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['a'], ['a', 'c'], ['f']]",1
"[['a'], ['a'], ['a'], ['c']]",1
"[['a'], ['a'], ['a'], ['c', 'f']]",1
"[['a'], ['a'], ['a'], ['d']]",1
"[['a'], ['a'], ['a'], ['d'], ['c']]",1
"[['a'], ['a'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['a'], ['a'], ['d'], ['f']]",1
"[['a'], ['a'], ['a'], ['f']]",1
"[['a'], ['a'], ['c']]",1
"[['a'], ['a'], ['c', 'f']]",1
"[['a'], ['a'], ['c'], ['c']]",1
"[['a'], ['a'], ['c'], ['c', 'f']]",1
"[['a'], ['a'], ['c'], ['d']]",1
"[['a'], ['a'], ['c'], ['d'], ['c']]",1
"[['a'], ['a'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['a'], ['c'], ['d'], ['f']]",1
"[['a'], ['a'], ['c'], ['f']]",1
"[['a'], ['a'], ['d']]",1
"[['a'], ['a'], ['d'], ['c']]",1
"[['a'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['a'], ['d'], ['f']]",1
"[['a'], ['a'], ['f']]",1
"[['a'], ['b']]",4
"[['a'], ['b', 'c']]",2
"[['a'], ['b', 'c'], ['a']]",2
"[['a'], ['b', 'c'], ['a', 'e']]",1
"[['a'], ['b', 'c'], ['a', 'c']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['c']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['d']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['f']]",1
"[['a'], ['b', 'c'], ['a'], ['c']]",1
"[['a'], ['b', 'c'], ['a'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['a'], ['d']]",1
"[['a'], ['b', 'c'], ['a'], ['d'], ['c']]",1
"[['a'], ['b', 'c'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['a'], ['d'], ['f']]",1
"[['a'], ['b', 'c'], ['a'], ['f']]",1
"[['a'], ['b', 'c'], ['c']]",1
"[['a'], ['b', 'c'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['c'], ['c']]",1
"[['a'], ['b', 'c'], ['c'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['c'], ['d']]",1
"[['a'], ['b', 'c'], ['c'], ['d'], ['c']]",1
"[['a'], ['b', 'c'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['c'], ['d'], ['f']]",1
"[['a'], ['b', 'c'], ['c'], ['f']]",1
"[['a'], ['b', 'c'], ['d']]",1
"[['a'], ['b', 'c'], ['d'], ['c']]",1
"[['a'], ['b', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['d'], ['f']]",1
"[['a'], ['b', 'c'], ['e']]",1
"[['a'], ['b', 'c'], ['f']]",1
"[['a'], ['b'], ['a']]",2
"[['a'], ['b'], ['a', 'e']]",1
"[['a'], ['b'], ['a', 'c']]",1
"[['a'], ['b'], ['a', 'c'], ['c']]",1
"[['a'], ['b'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['b'], ['a', 'c'], ['d']]",1
"[['a'], ['b'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['b'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['b'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['b'], ['a', 'c'], ['f']]",1
"[['a'], ['b'], ['a'], ['c']]",1
"[['a'], ['b'], ['a'], ['c', 'f']]",1
"[['a'], ['b'], ['a'], ['d']]",1
"[['a'], ['b'], ['a'], ['d'], ['c']]",1
"[['a'], ['b'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['b'], ['a'], ['d'], ['f']]",1
"[['a'], ['b'], ['a'], ['f']]",1
"[['a'], ['b'], ['b']]",1
"[['a'], ['b'], ['c']]",1
"[['a'], ['b'], ['c', 'f']]",1
"[['a'], ['b'], ['c'], ['c']]",1
"[['a'], ['b'], ['c'], ['c', 'f']]",1
"[['a'], ['b'], ['c'], ['d']]",1
"[['a'], ['b'], ['c'], ['d'], ['c']]",1
"[['a'], ['b'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['b'], ['c'], ['d'], ['f']]",1
"[['a'], ['b'], ['c'], ['f']]",1
"[['a'], ['b'], ['d']]",1
"[['a'], ['b'], ['d'], ['c']]",1
"[['a'], ['b'], ['d'], ['c', 'f']]",1
"[['a'], ['b'], ['d'], ['f']]",1
"[['a'], ['b'], ['e']]",1
"[['a'], ['b'], ['f']]",1
"[['a'], ['c']]",4
"[['a'], ['c', 'f']]",1
"[['a'], ['c'], ['a']]",2
"[['a'], ['c'], ['a', 'e']]",1
"[['a'], ['c'], ['a', 'c']]",1
"[['a'], ['c'], ['a', 'c'], ['c']]",1
"[['a'], ['c'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['c'], ['a', 'c'], ['d']]",1
