id,sequence
"[['a'], ['c'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['c'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['c'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['c'], ['a', 'c'], ['f']]",1
"[['a'], ['c'], ['a'], ['c']]",1
"[['a'], ['c'], ['a'], ['c', 'f']]",1
"[['a'], ['c'], ['a'], ['d']]",1
"[['a'], ['c'], ['a'], ['d'], ['c']]",1
"[['a'], ['c'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['c'], ['a'], ['d'], ['f']]",1
"[['a'], ['c'], ['a'], ['f']]",1
"[['a'], ['c'], ['b']]",3
"[['a'], ['c'], ['b', 'c']]",1
"[['a'], ['c'], ['b', 'c'], ['a']]",1
"[['a'], ['c'], ['b', 'c'], ['a', 'e']]",1
"[['a'], ['c'], ['b', 'c'], ['e']]",1
"[['a'], ['c'], ['b'], ['a']]",1
"[['a'], ['c'], ['b'], ['a', 'e']]",1
"[['a'], ['c'], ['b'], ['b']]",1
"[['a'], ['c'], ['b'], ['e']]",1
"[['a'], ['c'], ['c']]",2
"[['a'], ['c'], ['c', 'f']]",1
"[['a'], ['c'], ['c'], ['a']]",1
"[['a'], ['c'], ['c'], ['a', 'e']]",1
"[['a'], ['c'], ['c'], ['c']]",1
"[['a'], ['c'], ['c'], ['c', 'f']]",1
"[['a'], ['c'], ['c'], ['d']]",1
"[['a'], ['c'], ['c'], ['d'], ['c']]",1
"[['a'], ['c'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['c'], ['c'], ['d'], ['f']]",1
"[['a'], ['c'], ['c'], ['e']]",1
"[['a'], ['c'], ['c'], ['f']]",1
"[['a'], ['c'], ['d']]",1
"[['a'], ['c'], ['d'], ['c']]",1
"[['a'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['c'], ['d'], ['f']]",1
"[['a'], ['c'], ['e']]",1
"[['a'], ['c'], ['f']]",1
"[['a'], ['d']]",2
"[['a'], ['d', 'f']]",1
"[['a'], ['d', 'f'], ['b']]",1
"[['a'], ['d', 'f'], ['c']]",1
"[['a'], ['d', 'f'], ['c'], ['b']]",1
"[['a'], ['d'], ['b']]",1
"[['a'], ['d'], ['c']]",2
"[['a'], ['d'], ['c', 'f']]",1
"[['a'], ['d'], ['c'], ['b']]",1
"[['a'], ['d'], ['f']]",1
"[['a'], ['e']]",1
"[['a'], ['f']]",2
"[['a'], ['f'], ['b']]",1
"[['a'], ['f'], ['c']]",1
"[['a'], ['f'], ['c'], ['b']]",1
"[['e', 'f']]",1
"[['e', 'f'], ['a']]",1
"[['e', 'f'], ['a', 'b']]",1
"[['e', 'f'], ['a', 'b'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['c']]",1
"[['e', 'f'], ['a', 'b'], ['c'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['d']]",1
"[['e', 'f'], ['a', 'b'], ['d', 'f']]",1
"[['e', 'f'], ['a', 'b'], ['d', 'f'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['d', 'f'], ['c']]",1
"[['e', 'f'], ['a', 'b'], ['d', 'f'], ['c'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['d'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['d'], ['c']]",1
"[['e', 'f'], ['a', 'b'], ['d'], ['c'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['f']]",1
"[['e', 'f'], ['a', 'b'], ['f'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['f'], ['c']]",1
"[['e', 'f'], ['a', 'b'], ['f'], ['c'], ['b']]",1
"[['e', 'f'], ['a'], ['b']]",1
"[['e', 'f'], ['a'], ['c']]",1
"[['e', 'f'], ['a'], ['c'], ['b']]",1
"[['e', 'f'], ['a'], ['d']]",1
"[['e', 'f'], ['a'], ['d', 'f']]",1
"[['e', 'f'], ['a'], ['d', 'f'], ['b']]",1
"[['e', 'f'], ['a'], ['d', 'f'], ['c']]",1
"[['e', 'f'], ['a'], ['d', 'f'], ['c'], ['b']]",1
"[['e', 'f'], ['a'], ['d'], ['b']]",1
"[['e', 'f'], ['a'], ['d'], ['c']]",1
"[['e', 'f'], ['a'], ['d'], ['c'], ['b']]",1
"[['e', 'f'], ['a'], ['f']]",1
"[['e', 'f'], ['a'], ['f'], ['b']]",1
"[['e', 'f'], ['a'], ['f'], ['c']]",1
"[['e', 'f'], ['a'], ['f'], ['c'], ['b']]",1
"[['e', 'f'], ['b']]",1
"[['e', 'f'], ['b'], ['b']]",1
"[['e', 'f'], ['b'], ['c']]",1
"[['e', 'f'], ['b'], ['c'], ['b']]",1
"[['e', 'f'], ['b'], ['d']]",1
"[['e', 'f'], ['b'], ['d', 'f']]",1
"[['e', 'f'], ['b'], ['d', 'f'], ['b']]",1
"[['e', 'f'], ['b'], ['d', 'f'], ['c']]",1
"[['e', 'f'], ['b'], ['d', 'f'], ['c'], ['b']]",1
"[['e', 'f'], ['b'], ['d'], ['b']]",1
"[['e', 'f'], ['b'], ['d'], ['c']]",1
"[['e', 'f'], ['b'], ['d'], ['c'], ['b']]",1
"[['e', 'f'], ['b'], ['f']]",1
"[['e', 'f'], ['b'], ['f'], ['b']]",1
"[['e', 'f'], ['b'], ['f'], ['c']]",1
"[['e', 'f'], ['b'], ['f'], ['c'], ['b']]",1
"[['e', 'f'], ['c']]",1
"[['e', 'f'], ['c'], ['b']]",1
"[['e', 'f'], ['d']]",1
"[['e', 'f'], ['d', 'f']]",1
"[['e', 'f'], ['d', 'f'], ['b']]",1
"[['e', 'f'], ['d', 'f'], ['c']]",1
"[['e', 'f'], ['d', 'f'], ['c'], ['b']]",1
"[['e', 'f'], ['d'], ['b']]",1
"[['e', 'f'], ['d'], ['c']]",1
"[['e', 'f'], ['d'], ['c'], ['b']]",1
"[['e', 'f'], ['f']]",1
"[['e', 'f'], ['f'], ['b']]",1
"[['e', 'f'], ['f'], ['c']]",1
"[['e', 'f'], ['f'], ['c'], ['b']]",1
"[['e'], ['a']]",2
"[['e'], ['a', 'f']]",1
"[['e'], ['a', 'f'], ['b']]",1
"[['e'], ['a', 'f'], ['b'], ['b']]",1
"[['e'], ['a', 'f'], ['c']]",1
"[['e'], ['a', 'f'], ['c'], ['b']]",1
"[['e'], ['a', 'f'], ['c'], ['b'], ['b']]",1
"[['e'], ['a', 'b']]",1
"[['e'], ['a', 'b'], ['b']]",1
"[['e'], ['a', 'b'], ['c']]",1
"[['e'], ['a', 'b'], ['c'], ['b']]",1
"[['e'], ['a', 'b'], ['d']]",1
"[['e'], ['a', 'b'], ['d', 'f']]",1
"[['e'], ['a', 'b'], ['d', 'f'], ['b']]",1
"[['e'], ['a', 'b'], ['d', 'f'], ['c']]",1
"[['e'], ['a', 'b'], ['d', 'f'], ['c'], ['b']]",1
"[['e'], ['a', 'b'], ['d'], ['b']]",1
"[['e'], ['a', 'b'], ['d'], ['c']]",1
"[['e'], ['a', 'b'], ['d'], ['c'], ['b']]",1
"[['e'], ['a', 'b'], ['f']]",1
"[['e'], ['a', 'b'], ['f'], ['b']]",1
"[['e'], ['a', 'b'], ['f'], ['c']]",1
"[['e'], ['a', 'b'], ['f'], ['c'], ['b']]",1
"[['e'], ['a'], ['b']]",2
"[['e'], ['a'], ['b'], ['b']]",1
"[['e'], ['a'], ['c']]",2
"[['e'], ['a'], ['c'], ['b']]",2
"[['e'], ['a'], ['c'], ['b'], ['b']]",1
"[['e'], ['a'], ['d']]",1
"[['e'], ['a'], ['d', 'f']]",1
"[['e'], ['a'], ['d', 'f'], ['b']]",1
"[['e'], ['a'], ['d', 'f'], ['c']]",1
"[['e'], ['a'], ['d', 'f'], ['c'], ['b']]",1
"[['e'], ['a'], ['d'], ['b']]",1
"[['e'], ['a'], ['d'], ['c']]",1
"[['e'], ['a'], ['d'], ['c'], ['b']]",1
"[['e'], ['a'], ['f']]",1
"[['e'], ['a'], ['f'], ['b']]",1
"[['e'], ['a'], ['f'], ['c']]",1
"[['e'], ['a'], ['f'], ['c'], ['b']]",1
"[['e'], ['b']]",2
"[['e'], ['b'], ['b']]",2
"[['e'], ['b'], ['c']]",1
"[['e'], ['b'], ['c'], ['b']]",1
"[['e'], ['b'], ['d']]",1
"[['e'], ['b'], ['d', 'f']]",1
"[['e'], ['b'], ['d', 'f'], ['b']]",1
"[['e'], ['b'], ['d', 'f'], ['c']]",1
"[['e'], ['b'], ['d', 'f'], ['c'], ['b']]",1
"[['e'], ['b'], ['d'], ['b']]",1
"[['e'], ['b'], ['d'], ['c']]",1
"[['e'], ['b'], ['d'], ['c'], ['b']]",1
"[['e'], ['b'], ['f']]",1
"[['e'], ['b'], ['f'], ['b']]",1
"[['e'], ['b'], ['f'], ['c']]",1
"[['e'], ['b'], ['f'], ['c'], ['b']]",1
"[['e'], ['c']]",2
"[['e'], ['c'], ['b']]",2
"[['e'], ['c'], ['b'], ['b']]",1
"[['e'], ['d']]",1
"[['e'], ['d', 'f']]",1
"[['e'], ['d', 'f'], ['b']]",1
"[['e'], ['d', 'f'], ['c']]",1
"[['e'], ['d', 'f'], ['c'], ['b']]",1
"[['e'], ['d'], ['b']]",1
"[['e'], ['d'], ['c']]",1
"[['e'], ['d'], ['c'], ['b']]",1
"[['e'], ['f']]",2
"[['e'], ['f'], ['b']]",2
"[['e'], ['f'], ['b'], ['b']]",1
"[['e'], ['f'], ['c']]",2
"[['e'], ['f'], ['c'], ['b']]",2
"[['e'], ['f'], ['c'], ['b'], ['b']]",1
"[['e'], ['g']]",1
"[['e'], ['g'], ['a']]",1
"[['e'], ['g'], ['a', 'f']]",1
"[['e'], ['g'], ['a', 'f'], ['b']]",1
"[['e'], ['g'], ['a', 'f'], ['b'], ['b']]",1
"[['e'], ['g'], ['a', 'f'], ['c']]",1
"[['e'], ['g'], ['a', 'f'], ['c'], ['b']]",1
"[['e'], ['g'], ['a', 'f'], ['c'], ['b'], ['b']]",1
"[['e'], ['g'], ['a'], ['b']]",1
"[['e'], ['g'], ['a'], ['b'], ['b']]",1
"[['e'], ['g'], ['a'], ['c']]",1
"[['e'], ['g'], ['a'], ['c'], ['b']]",1
"[['e'], ['g'], ['a'], ['c'], ['b'], ['b']]",1
"[['e'], ['g'], ['b']]",1
"[['e'], ['g'], ['b'], ['b']]",1
"[['e'], ['g'], ['c']]",1
"[['e'], ['g'], ['c'], ['b']]",1
"[['e'], ['g'], ['c'], ['b'], ['b']]",1
"[['e'], ['g'], ['f']]",1
"[['e'], ['g'], ['f'], ['b']]",1
"[['e'], ['g'], ['f'], ['b'], ['b']]",1
"[['e'], ['g'], ['f'], ['c']]",1
"[['e'], ['g'], ['f'], ['c'], ['b']]",1
"[['e'], ['g'], ['f'], ['c'], ['b'], ['b']]",1
"[['b', 'c']]",2
"[['b', 'c'], ['a']]",2
"[['b', 'c'], ['a', 'e']]",1
"[['b', 'c'], ['a', 'c']]",1
"[['b', 'c'], ['a', 'c'], ['c']]",1
"[['b', 'c'], ['a', 'c'], ['c', 'f']]",1
"[['b', 'c'], ['a', 'c'], ['d']]",1
"[['b', 'c'], ['a', 'c'], ['d'], ['c']]",1
"[['b', 'c'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['b', 'c'], ['a', 'c'], ['d'], ['f']]",1
"[['b', 'c'], ['a', 'c'], ['f']]",1
"[['b', 'c'], ['a'], ['c']]",1
"[['b', 'c'], ['a'], ['c', 'f']]",1
"[['b', 'c'], ['a'], ['d']]",1
"[['b', 'c'], ['a'], ['d'], ['c']]",1
"[['b', 'c'], ['a'], ['d'], ['c', 'f']]",1
"[['b', 'c'], ['a'], ['d'], ['f']]",1
"[['b', 'c'], ['a'], ['f']]",1
"[['b', 'c'], ['c']]",1
"[['b', 'c'], ['c', 'f']]",1
"[['b', 'c'], ['c'], ['c']]",1
"[['b', 'c'], ['c'], ['c', 'f']]",1
"[['b', 'c'], ['c'], ['d']]",1
"[['b', 'c'], ['c'], ['d'], ['c']]",1
"[['b', 'c'], ['c'], ['d'], ['c', 'f']]",1
"[['b', 'c'], ['c'], ['d'], ['f']]",1
"[['b', 'c'], ['c'], ['f']]",1
"[['b', 'c'], ['d']]",1
"[['b', 'c'], ['d'], ['c']]",1
"[['b', 'c'], ['d'], ['c', 'f']]",1
"[['b', 'c'], ['d'], ['f']]",1
"[['b', 'c'], ['e']]",1
"[['b', 'c'], ['f']]",1
"[['b'], ['a']]",2
"[['b'], ['a', 'e']]",1
"[['b'], ['a', 'c']]",1
"[['b'], ['a', 'c'], ['c']]",1
"[['b'], ['a', 'c'], ['c', 'f']]",1
"[['b'], ['a', 'c'], ['d']]",1
"[['b'], ['a', 'c'], ['d'], ['c']]",1
"[['b'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['b'], ['a', 'c'], ['d'], ['f']]",1
"[['b'], ['a', 'c'], ['f']]",1
"[['b'], ['a'], ['c']]",1
"[['b'], ['a'], ['c', 'f']]",1
"[['b'], ['a'], ['d']]",1
"[['b'], ['a'], ['d'], ['c']]",1
"[['b'], ['a'], ['d'], ['c', 'f']]",1
"[['b'], ['a'], ['d'], ['f']]",1
"[['b'], ['a'], ['f']]",1
"[['b'], ['b']]",2
"[['b'], ['c']]",2
"[['b'], ['c', 'f']]",1
"[['b'], ['c'], ['b']]",1
"[['b'], ['c'], ['c']]",1
"[['b'], ['c'], ['c', 'f']]",1
"[['b'], ['c'], ['d']]",1
"[['b'], ['c'], ['d'], ['c']]",1
"[['b'], ['c'], ['d'], ['c', 'f']]",1
"[['b'], ['c'], ['d'], ['f']]",1
"[['b'], ['c'], ['f']]",1
"[['b'], ['d']]",2
"[['b'], ['d', 'f']]",1
"[['b'], ['d', 'f'], ['b']]",1
"[['b'], ['d', 'f'], ['c']]",1
"[['b'], ['d', 'f'], ['c'], ['b']]",1
"[['b'], ['d'], ['b']]",1
"[['b'], ['d'], ['c']]",2
"[['b'], ['d'], ['c', 'f']]",1
"[['b'], ['d'], ['c'], ['b']]",1
"[['b'], ['d'], ['f']]",1
"[['b'], ['e']]",1
"[['b'], ['f']]",2
"[['b'], ['f'], ['b']]",1
"[['b'], ['f'], ['c']]",1
"[['b'], ['f'], ['c'], ['b']]",1
"[['f'], ['a']]",1
"[['f'], ['a', 'b']]",1
"[['f'], ['a', 'b'], ['b']]",1
"[['f'], ['a', 'b'], ['c']]",1
"[['f'], ['a', 'b'], ['c'], ['b']]",1
"[['f'], ['a', 'b'], ['d']]",1
"[['f'], ['a', 'b'], ['d', 'f']]",1
"[['f'], ['a', 'b'], ['d', 'f'], ['b']]",1
"[['f'], ['a', 'b'], ['d', 'f'], ['c']]",1
"[['f'], ['a', 'b'], ['d', 'f'], ['c'], ['b']]",1
"[['f'], ['a', 'b'], ['d'], ['b']]",1
"[['f'], ['a', 'b'], ['d'], ['c']]",1
"[['f'], ['a', 'b'], ['d'], ['c'], ['b']]",1
"[['f'], ['a', 'b'], ['f']]",1
"[['f'], ['a', 'b'], ['f'], ['b']]",1
"[['f'], ['a', 'b'], ['f'], ['c']]",1
"[['f'], ['a', 'b'], ['f'], ['c'], ['b']]",1
"[['f'], ['a'], ['b']]",1
"[['f'], ['a'], ['c']]",1
"[['f'], ['a'], ['c'], ['b']]",1
"[['f'], ['a'], ['d']]",1
"[['f'], ['a'], ['d', 'f']]",1
"[['f'], ['a'], ['d', 'f'], ['b']]",1
"[['f'], ['a'], ['d', 'f'], ['c']]",1
"[['f'], ['a'], ['d', 'f'], ['c'], ['b']]",1
"[['f'], ['a'], ['d'], ['b']]",1
"[['f'], ['a'], ['d'], ['c']]",1
"[['f'], ['a'], ['d'], ['c'], ['b']]",1
"[['f'], ['a'], ['f']]",1
"[['f'], ['a'], ['f'], ['b']]",1
"[['f'], ['a'], ['f'], ['c']]",1
"[['f'], ['a'], ['f'], ['c'], ['b']]",1
"[['f'], ['b']]",2
"[['f'], ['b'], ['b']]",2
"[['f'], ['b'], ['c']]",1
"[['f'], ['b'], ['c'], ['b']]",1
"[['f'], ['b'], ['d']]",1
"[['f'], ['b'], ['d', 'f']]",1
"[['f'], ['b'], ['d', 'f'], ['b']]",1
"[['f'], ['b'], ['d', 'f'], ['c']]",1
"[['f'], ['b'], ['d', 'f'], ['c'], ['b']]",1
"[['f'], ['b'], ['d'], ['b']]",1
"[['f'], ['b'], ['d'], ['c']]",1
"[['f'], ['b'], ['d'], ['c'], ['b']]",1
"[['f'], ['b'], ['f']]",1
"[['f'], ['b'], ['f'], ['b']]",1
"[['f'], ['b'], ['f'], ['c']]",1
"[['f'], ['b'], ['f'], ['c'], ['b']]",1
"[['f'], ['c']]",2
"[['f'], ['c'], ['b']]",2
"[['f'], ['c'], ['b'], ['b']]",1
"[['f'], ['d']]",1
"[['f'], ['d', 'f']]",1
"[['f'], ['d', 'f'], ['b']]",1
"[['f'], ['d', 'f'], ['c']]",1
"[['f'], ['d', 'f'], ['c'], ['b']]",1
"[['f'], ['d'], ['b']]",1
"[['f'], ['d'], ['c']]",1
"[['f'], ['d'], ['c'], ['b']]",1
"[['f'], ['f']]",1
"[['f'], ['f'], ['b']]",1
"[['f'], ['f'], ['c']]",1
"[['f'], ['f'], ['c'], ['b']]",1
"[['c', 'f']]",1
"[['c'], ['a']]",2
"[['c'], ['a', 'e']]",1
"[['c'], ['a', 'c']]",1
"[['c'], ['a', 'c'], ['c']]",1
"[['c'], ['a', 'c'], ['c', 'f']]",1
"[['c'], ['a', 'c'], ['d']]",1
"[['c'], ['a', 'c'], ['d'], ['c']]",1
"[['c'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['c'], ['a', 'c'], ['d'], ['f']]",1
"[['c'], ['a', 'c'], ['f']]",1
"[['c'], ['a'], ['c']]",1
"[['c'], ['a'], ['c', 'f']]",1
"[['c'], ['a'], ['d']]",1
"[['c'], ['a'], ['d'], ['c']]",1
"[['c'], ['a'], ['d'], ['c', 'f']]",1
"[['c'], ['a'], ['d'], ['f']]",1
"[['c'], ['a'], ['f']]",1
"[['c'], ['b']]",3
"[['c'], ['b', 'c']]",1
"[['c'], ['b', 'c'], ['a']]",1
"[['c'], ['b', 'c'], ['a', 'e']]",1
"[['c'], ['b', 'c'], ['e']]",1
"[['c'], ['b'], ['a']]",1
"[['c'], ['b'], ['a', 'e']]",1
"[['c'], ['b'], ['b']]",1
"[['c'], ['b'], ['e']]",1
"[['c'], ['c']]",2
"[['c'], ['c', 'f']]",1
"[['c'], ['c'], ['a']]",1
"[['c'], ['c'], ['a', 'e']]",1
"[['c'], ['c'], ['c']]",1
"[['c'], ['c'], ['c', 'f']]",1
"[['c'], ['c'], ['d']]",1
"[['c'], ['c'], ['d'], ['c']]",1
"[['c'], ['c'], ['d'], ['c', 'f']]",1
"[['c'], ['c'], ['d'], ['f']]",1
"[['c'], ['c'], ['e']]",1
"[['c'], ['c'], ['f']]",1
"[['c'], ['d']]",1
"[['c'], ['d'], ['c']]",1
"[['c'], ['d'], ['c', 'f']]",1
"[['c'], ['d'], ['f']]",1
"[['c'], ['e']]",1
"[['c'], ['f']]",1
"[['g'], ['a']]",1
"[['g'], ['a', 'f']]",1
"[['g'], ['a', 'f'], ['b']]",1
"[['g'], ['a', 'f'], ['b'], ['b']]",1
"[['g'], ['a', 'f'], ['c']]",1
"[['g'], ['a', 'f'], ['c'], ['b']]",1
"[['g'], ['a', 'f'], ['c'], ['b'], ['b']]",1
"[['g'], ['a'], ['b']]",1
"[['g'], ['a'], ['b'], ['b']]",1
"[['g'], ['a'], ['c']]",1
"[['g'], ['a'], ['c'], ['b']]",1
"[['g'], ['a'], ['c'], ['b'], ['b']]",1
"[['g'], ['b']]",1
"[['g'], ['b'], ['b']]",1
"[['g'], ['c']]",1
"[['g'], ['c'], ['b']]",1
"[['g'], ['c'], ['b'], ['b']]",1
"[['g'], ['f']]",1
"[['g'], ['f'], ['b']]",1
"[['g'], ['f'], ['b'], ['b']]",1
"[['g'], ['f'], ['c']]",1
"[['g'], ['f'], ['c'], ['b']]",1
"[['g'], ['f'], ['c'], ['b'], ['b']]",1
